municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Brookfield,47,"{""moderate"": 9, ""not_supported"": 5, ""strong"": 13, ""weak"": 20}","{""context_only"": 16, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 19, ""source_navigation_claim"": 2}"
Brookhaven,44,"{""moderate"": 6, ""not_supported"": 6, ""strong"": 6, ""weak"": 26}","{""context_only"": 17, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 14, ""source_navigation_claim"": 1}"
Brookline,25,"{""moderate"": 3, ""not_supported"": 5, ""strong"": 5, ""weak"": 12}","{""context_only"": 11, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 6}"
Brownstown charter,11,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Brownwood,7,"{""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Brunswick,38,"{""moderate"": 12, ""not_supported"": 3, ""strong"": 12, ""weak"": 11}","{""context_only"": 10, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 20}"
Brusly,3,"{""moderate"": 1, ""strong"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Buckhannon,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Buckley,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 2, ""source_navigation_claim"": 1}"
Bucyrus,12,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 4, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Buena Vista,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 4}"
Buffalo,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Buford,5,"{""not_supported"": 2, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 2}"
Bullhead City,7,"{""moderate"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Burbank,16,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 5, ""weak"": 8}","{""context_only"": 8, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 7}"
Burlington,7,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Burnsville,8,"{""moderate"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Burr Ridge,14,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 5}"
Butler,9,"{""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Byhalia,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Byron,8,"{""moderate"": 2, ""strong"": 4, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Cadillac,7,"{""strong"": 3, ""weak"": 4}","{""context_only"": 4, ""quantitative_compensation_claim"": 3}"
Caledonia,19,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 8, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 7}"
Calera,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""source_navigation_claim"": 1}"
Calhoun,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2}"
Caliente,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Calimesa,3,"{""moderate"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Calumet,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1}"
Cambridge,1,"{""weak"": 1}","{""context_only"": 1}"
Camden,22,"{""moderate"": 6, ""strong"": 7, ""weak"": 9}","{""context_only"": 5, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 10, ""source_navigation_claim"": 1}"
Cameron,12,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 8}"
Camillus,32,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 16, ""weak"": 10}","{""context_only"": 9, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 20}"
Camp Hill,3,"{""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1}"
Canandaigua,23,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 4, ""weak"": 12}","{""context_only"": 10, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 5}"
Canfield,22,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 10, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Canton,16,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 3, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3, ""source_navigation_claim"": 2}"
Canyon Lake,13,"{""moderate"": 4, ""strong"": 4, ""weak"": 5}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Canyonville,1,"{""strong"": 1}","{""direct_text_claim"": 1}"
Carefree,3,"{""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Carencro,3,"{""weak"": 3}","{""context_only"": 2, ""documentary_mechanism_claim"": 1}"
Carlin,46,"{""moderate"": 11, ""not_supported"": 2, ""strong"": 18, ""weak"": 15}","{""context_only"": 11, ""direct_text_claim"": 12, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 17, ""source_navigation_claim"": 3}"
Carlisle,4,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1}"
Carmel,8,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Carnation,2,"{""not_supported"": 2}","{""context_only"": 2}"
Carnegie,2,"{""moderate"": 1, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Carpinteria,25,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 7, ""weak"": 11}","{""context_only"": 10, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 12, ""source_navigation_claim"": 1}"
Carrington,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Carroll,16,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 4, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Carter Lake,16,"{""moderate"": 6, ""strong"": 4, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 7}"
Carthage,4,"{""moderate"": 2, ""strong"": 1, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Carver,19,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 2, ""weak"": 11}","{""context_only"": 12, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Cary,10,"{""moderate"": 2, ""not_supported"": 2, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Casco,9,"{""moderate"": 1, ""not_supported"": 3, ""weak"": 5}","{""context_only"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""source_navigation_claim"": 1}"
Caseyville,4,"{""not_supported"": 2, ""weak"": 2}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1}"
Cashmere,10,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 4, ""weak"": 2}","{""context_only"": 3, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Castle Rock,5,"{""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Castleton,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Cayce,4,"{""moderate"": 1, ""strong"": 3}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Cañon City,25,"{""moderate"": 5, ""not_supported"": 4, ""strong"": 3, ""weak"": 13}","{""context_only"": 8, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 8}"
Cecil,6,"{""moderate"": 1, ""weak"": 5}","{""context_only"": 5, ""documentary_mechanism_claim"": 1}"
Cecilton,1,"{""weak"": 1}","{""quantitative_compensation_claim"": 1}"
Cedar Creek,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Cedar Lake,16,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 9, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Center,1,"{""not_supported"": 1}","{""context_only"": 1}"
Center Line,6,"{""strong"": 4, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Centerville,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Centre,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Ceredo,4,"{""strong"": 2, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Ceres,1,"{""weak"": 1}","{""context_only"": 1}"
Chagrin Falls,10,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Chamblee,5,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Champaign City,2,"{""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Channahon,27,"{""moderate"": 4, ""not_supported"": 9, ""strong"": 6, ""weak"": 8}","{""context_only"": 9, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 7}"
Chanute,1,"{""weak"": 1}","{""context_only"": 1}"
Chariton,2,"{""strong"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Charleston,72,"{""moderate"": 11, ""not_supported"": 17, ""strong"": 18, ""weak"": 26}","{""context_only"": 34, ""direct_text_claim"": 8, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 6, ""quantitative_compensation_claim"": 22}"
Charlotte,11,"{""moderate"": 2, ""strong"": 8, ""weak"": 1}","{""direct_text_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Chatfield,15,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 7, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 7}"
Chatham,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Cheboygan,4,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Chelsea,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Cheney,4,"{""strong"": 1, ""weak"": 3}","{""quantitative_compensation_claim"": 4}"
Cherokee Village,4,"{""moderate"": 1, ""strong"": 3}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Cherry Hills Village,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 3}"
Cheshire,2,"{""not_supported"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Chester,10,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 7}","{""context_only"": 3, ""direct_text_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Cheswold,3,"{""weak"": 3}","{""context_only"": 3}"
Chickasha,6,"{""moderate"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 2, ""quantitative_compensation_claim"": 4}"
Chilhowie,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Chilton,15,"{""moderate"": 3, ""strong"": 7, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 9}"
Chincoteague,11,"{""moderate"": 3, ""strong"": 5, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Chisholm,1,"{""weak"": 1}","{""context_only"": 1}"
Christiansburg,2,"{""not_supported"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Church Hill,4,"{""not_supported"": 2, ""strong"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Church Point,4,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2}","{""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Cimarron,13,"{""moderate"": 4, ""strong"": 5, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Cincinnati,48,"{""moderate"": 10, ""not_supported"": 6, ""strong"": 16, ""weak"": 16}","{""context_only"": 17, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 22}"
Circle,3,"{""strong"": 3}","{""quantitative_compensation_claim"": 3}"
Claremore,13,"{""moderate"": 3, ""not_supported"": 4, ""weak"": 6}","{""context_only"": 7, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Clarinda,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Clark,3,"{""strong"": 1, ""weak"": 2}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Clarkston,39,"{""moderate"": 5, ""not_supported"": 4, ""strong"": 12, ""weak"": 18}","{""context_only"": 14, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 13}"
Clatskanie,7,"{""not_supported"": 3, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""not_claim_ready"": 2}"
Cle Elum,7,"{""moderate"": 2, ""weak"": 5}","{""context_only"": 5, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Clear Lake,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Clearwater,14,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 6, ""weak"": 3}","{""context_only"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 7}"
Clemmons,13,"{""not_supported"": 2, ""strong"": 6, ""weak"": 5}","{""context_only"": 6, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Cleveland,33,"{""moderate"": 7, ""not_supported"": 9, ""strong"": 10, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 11}"
Clifton,1,"{""weak"": 1}","{""context_only"": 1}"
Clifton Forge,1,"{""weak"": 1}","{""context_only"": 1}"
Clifton Heights,2,"{""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Clinton,3,"{""not_supported"": 1, ""weak"": 2}","{""context_only"": 3}"
Clover,2,"{""strong"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Clyde Hill,20,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 6, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Coburg,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Coffeyville,31,"{""moderate"": 5, ""not_supported"": 9, ""strong"": 8, ""weak"": 9}","{""context_only"": 14, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 8}"
Colby,6,"{""moderate"": 1, ""strong"": 5}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Colchester,11,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 2, ""weak"": 7}","{""context_only"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Cold Spring,4,"{""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 2}"
Colerain,13,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 3, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Collingdale,2,"{""not_supported"": 2}","{""context_only"": 1, ""not_claim_ready"": 1}"
Collinsville,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Colstrip,25,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 6, ""weak"": 12}","{""context_only"": 7, ""direct_text_claim"": 2, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 12}"
Columbia,9,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Columbus,7,"{""moderate"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Colusa,5,"{""moderate"": 2, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Combined Locks,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 1}"
Commerce City,6,"{""not_supported"": 3, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Commerce charter,31,"{""moderate"": 7, ""not_supported"": 5, ""strong"": 6, ""weak"": 13}","{""context_only"": 11, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 13}"
Comstock charter,1,"{""weak"": 1}","{""context_only"": 1}"
Concord,24,"{""moderate"": 7, ""not_supported"": 2, ""strong"": 6, ""weak"": 9}","{""context_only"": 8, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Connellsville,9,"{""moderate"": 1, ""strong"": 3, ""weak"": 5}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
